Account_Name,From_Date,NICSI_Manager,PI_Amt,PI_Date,PI_Number,PI_Owner,PI_Status,PO_Date,Project_No,Reference_Number,Remark,To_Date,Traffic
TestAccount,23/12/2020,NICSI Manager,5000,23/12/2020,PI012,Owner,2,,11,AS323214,Remarks,24/12/2020,Traffic
Aravinth,2020-12-23,Kumaran,220,2020-12-23T18:30:00.000Z,32423,Kumar,0,,11,32423,testing,2020-12-24,32423
Aravinth,2020-12-24,Rajesh,2202,2020-12-23T18:30:00.000Z,324,Kumaran,0,,11,3424,testing,2020-12-25,3424
ridan,25/12/2020,Arul,10500,24/12/2020,2089,Arul,0,,11,5670,testing,2020-12-31,1000
Arulauth,20/01/2021,test,50000,05/01/2021,1234567,Test,0,,11,123456,test,30/01/2021,5000
,,,,,,,0,,11,,,,
TestPIAcc,21/01/2021,manager,9789,21/02/2020,PI2343,Owner,2,21/02/2021,P98988,REF2341,remark,21/02/2021,99
TestPIAcc,21/01/2021,manager,9789,21/02/2020,PI2343,Owner,2,21/02/2021,P989883,REF2341,remark,21/02/2021,99
,26/01/2021,dsfsdf,24,25/01/2021,,,0,,,,3242ddsf,26/01/2021,
Guru moorthi,25/01/2021,Balashankar,1000,25/01/2021,15000,Raj,0,,,1000,testing,26/01/2021,100
Arula Giri M,2021-01-25T00:00:00.000Z,,15000,,50002,,0,,,,testing,2021-01-28T00:00:00.000Z,
balashankar R,2021-01-26T00:00:00.000Z,,10000,,5004,,0,,,,testing,2021-01-29T00:00:00.000Z,
balashankar,2021-01-26T00:00:00.000Z,,10000,,5004,,0,,,,testing,2021-01-29T00:00:00.000Z,
Raja Rathinam M,2021-01-25T00:00:00.000Z,,1000,,23432,,0,,,,testing,2021-01-29T00:00:00.000Z,
Karthik  R,2021-01-26T00:00:00.000Z,,10000,,4234,,0,,,,testing,2021-01-29T00:00:00.000Z,
Naveen R,2021-01-25T00:00:00.000Z,Gurur,15000,2021-01-25T00:00:00.000Z,3243,Bala,1,,,3242,testing,2021-01-27T00:00:00.000Z,1000
Gunam R,2021-01-26T00:00:00.000Z,Tester,15000,2021-01-25T00:00:00.000Z,3423,Ankit,0,,,324,testing,2021-01-28T00:00:00.000Z,10000
